Car_Age,Car_Brand,Car_Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs)
4,Maruti,Ertiga,62120,Petrol,Manual,2nd owner,827999
4,Renault,Kwid,37780,Petrol,Manual,1st owner,281000
4,Maruti,New Wagon-R,77150,Petrol,Manual,1st owner,407000
4,Maruti,Baleno,38580,Petrol,Manual,1st owner,575000
6,Hyundai,NEW SANTRO,56800,Petrol,Manual,3rd owner,378000
9,Maruti,Baleno,120000,Diesel,Manual,1st owner,339000
6,Maruti,New Wagon-R,79840,Petrol,Manual,1st owner,399000
4,Tata,NEXON,29160,Petrol,Manual,1st owner,640000
14,Chevrolet,Captiva,96740,Diesel,Manual,2nd owner,229999
10,Maruti,Swift Dzire,110000,Diesel,Manual,2nd owner,300000
2,Mahindra,XUV700,24450,Petrol,Auto,1st owner,1650000
4,Tata,NEXON,34790,Petrol,Manual,1st owner,665000
9,Maruti,Ciaz,110000,Diesel,Manual,2nd owner,366000
7,Honda,City,62500,Petrol,Manual,3rd owner,572000
6,Maruti,Ciaz,51870,Petrol,Manual,1st owner,690000
3,Maruti,S PRESSO,9610,Petrol,Manual,1st owner,466000
8,Mahindra,XUV500,78680,Diesel,Manual,2nd owner,700000
5,KIA,SONET,97110,Petrol,Manual,1st owner,700000
9,Hyundai,Creta,150000,Diesel,Manual,1st owner,713000
6,Hyundai,Creta,96000,Diesel,Manual,1st owner,600000
3,Skoda,SLAVIA,48400,Petrol,Auto,1st owner,1150000
6,Tata,Tiago,64370,Petrol,Auto,1st owner,465000
2,Hyundai,VENUE,30100,Diesel,Manual,1st owner,976000
9,Mahindra,Kuv100,8760,Petrol,Manual,2nd owner,254999
11,Renault,Duster,98570,Diesel,Manual,2nd owner,300000
11,Mahindra,XUV500,110000,Diesel,Manual,2nd owner,299000
13,Toyota,Fortuner,120000,Diesel,Auto,3rd owner,850000
5,Hyundai,Creta,100000,Diesel,Manual,1st owner,823000
8,Hyundai,Creta,100000,Diesel,Manual,2nd owner,660000
4,Hyundai,Creta,45940,Diesel,Manual,1st owner,1265000
12,Hyundai,New Elantra,98540,Diesel,Auto,2nd owner,314000
6,Maruti,Swift,90500,Diesel,Manual,1st owner,505000
3,Hyundai,GRAND I10 NIOS,80480,Petrol,Manual,1st owner,567000
2,Renault,Kiger,8570,Petrol,Manual,1st owner,800000
1,Maruti,New Wagon-R,11820,Petrol,Manual,1st owner,585000
6,Mahindra,MARAZZO,440000,Diesel,Manual,1st owner,600000
14,Toyota,Innova,240000,Diesel,Manual,1st owner,380000
3,Hyundai,VENUE,37070,Diesel,Manual,1st owner,930000
10,Ford,Ecosport,110000,Diesel,Manual,2nd owner,321000
6,Maruti,Ertiga,55500,Petrol,Manual,2nd owner,750000
2,MG,HECTOR PLUS,6780,Petrol,Auto,1st owner,1950000
8,Hyundai,Tucson,110000,Diesel,Auto,2nd owner,875000
4,MG,HECTOR,160000,Diesel,Manual,1st owner,1150000
8,Renault,Captur,110000,Diesel,Manual,1st owner,400000
12,Toyota,Fortuner,150000,Diesel,Manual,2nd owner,680000
7,BMW,3 Series,43200,Diesel,Auto,1st owner,2152000
6,Toyota,Innova Crysta,94520,Diesel,Manual,1st owner,1629000
4,Hyundai,VENUE,54620,Petrol,Manual,1st owner,635000
13,Honda,City,45150,Petrol,Manual,1st owner,221000
11,Nissan,Terrano,130000,Diesel,Manual,2nd owner,162000
13,Hyundai,i10,68830,Petrol,Manual,2nd owner,121000
6,Renault,Kwid,35000,Petrol,Manual,1st owner,266000
2,Hyundai,NEW I20,12850,Petrol,Manual,2nd owner,550000
8,Hyundai,Elite i20,80310,Diesel,Manual,1st owner,330000
1,Maruti,Eeco,20040,Petrol,Manual,1st owner,638000
10,Tata,Zest,89430,Diesel,Manual,1st owner,202000
9,Renault,Kwid,100000,Petrol,Manual,1st owner,150000
11,Hyundai,Grand i10,89870,Diesel,Manual,1st owner,189000
11,Maruti,Swift Dzire,1260000,Diesel,Manual,5th owner,167000
7,Tata,TIGOR,56160,Petrol,Manual,2nd owner,299000
9,Maruti,Alto 800,86820,Petrol,Manual,1st owner,200000
13,BMW,X1,60400,Diesel,Auto,2nd owner,498000
13,Maruti,Swift,51740,Petrol,Manual,1st owner,174000
11,Hyundai,Eon,62530,Petrol,Manual,2nd owner,162000
14,Chevrolet,Spark,87030,Petrol,Manual,2nd owner,70000
15,Honda,City,76440,Petrol,Manual,1st owner,140000
5,Maruti,Vitara Brezza,20750,Petrol,Manual,1st owner,660000
8,Tata,Zest,110000,Diesel,Manual,1st owner,238000
10,Maruti,Swift Dzire,150000,Petrol,Manual,1st owner,330000
10,Ford,Figo Aspire,100000,Diesel,Manual,1st owner,148000
6,Maruti,Swift,91380,Petrol,Manual,1st owner,480000
9,Ford,Figo Aspire,110000,Diesel,Manual,1st owner,172000
7,Maruti,Dzire,24290,Petrol,Manual,1st owner,473000
10,Hyundai,i20 Active,160000,Diesel,Manual,2nd owner,250000
8,Maruti,Celerio,25190,Petrol,Manual,1st owner,350000
12,Chevrolet,Cruze,110000,Diesel,Auto,3rd owner,250000
15,Volkswagen,Passat,79650,Petrol,Manual,2nd owner,100000
15,Volkswagen,Polo,95430,Diesel,Manual,1st owner,133000
6,Maruti,Swift,110000,Petrol,Manual,1st owner,459999
6,Tata,NEXON,120000,Diesel,Manual,1st owner,500000
14,Maruti,Alto K10,69150,Petrol,Manual,1st owner,184000
6,Ford,Ecosport,43380,Petrol,Manual,1st owner,513999
2,Maruti,Baleno,22930,Petrol,Auto,1st owner,800000
12,Ford,Ecosport,150000,Diesel,Manual,3rd owner,239000
9,Volkswagen,Ameo,130000,Diesel,Manual,1st owner,323000
8,Hyundai,Eon,53460,Petrol,Manual,1st owner,267000
1,KIA,CARENS,42480,Diesel,Manual,1st owner,1247000
15,Maruti,Swift,110000,Petrol,Manual,2nd owner,114999
10,Hyundai,i20 Active,97600,Petrol,Manual,1st owner,366000
5,Tata,NEXON,42810,Diesel,Manual,2nd owner,750000
8,Hyundai,Elite i20,78500,Diesel,Manual,1st owner,513000
7,Jeep,Compass,140000,Diesel,Manual,2nd owner,619000
8,Mahindra,TUV300,87880,Diesel,Manual,2nd owner,539000
2,Hyundai,VENUE,20400,Petrol,Manual,1st owner,849000
8,Honda,WR-V,240000,Diesel,Manual,1st owner,520000
9,Hyundai,Elite i20,110000,Diesel,Manual,1st owner,451000
10,Maruti,S Cross,260000,Diesel,Manual,1st owner,400000
9,Renault,Duster,110000,Diesel,Manual,2nd owner,351000
2,Skoda,KUSHAQ,59930,Petrol,Manual,2nd owner,1100000
7,Ford,Figo Aspire,63910,Diesel,Manual,1st owner,455000
7,Toyota,YARIS,77840,Petrol,Auto,2nd owner,450000
